idx;pitch;tsr;Cp;Ct;Cq;dCqdpitch;dCqdtsr;stall
209;-2.00;4.75;0.289193;0.687868;0.060883;0.017969;0.004426;1
210;-2.00;5.00;0.327374;0.728398;0.065475;0.018335;0.004543;1
211;-2.00;5.25;0.367763;0.773433;0.070050;0.017163;0.004298;1
212;-2.00;5.50;0.407309;0.827640;0.074056;0.011465;0.003015;1
213;-2.00;5.75;0.435752;0.877192;0.075783;0.002287;0.000821;1
214;-2.00;6.00;0.451197;0.911951;0.075200;-0.004753;-0.000290;0
215;-2.00;6.25;0.458790;0.938691;0.073406;-0.008291;-0.000461;0
216;-2.00;6.50;0.461850;0.960858;0.071054;-0.010222;-0.000322;0
217;-2.00;6.75;0.460995;0.979298;0.068296;-0.011802;-0.000187;0
218;-2.00;7.00;0.456071;0.994645;0.065153;-0.012951;0.000078;1
219;-2.00;7.25;0.448194;1.008829;0.061820;-0.013331;0.000372;1
220;-2.00;7.50;0.438655;1.022745;0.058487;-0.012863;0.000690;1
221;-2.00;7.75;0.429258;1.037115;0.055388;-0.011824;0.001005;1
222;-2.00;8.00;0.420605;1.052333;0.052576;-0.010747;0.001319;1
223;-2.00;8.25;0.412619;1.068466;0.050014;-0.009892;0.001603;1
224;-2.00;8.50;0.404850;1.085212;0.047629;-0.009371;0.001797;1
225;-2.00;8.75;0.396626;1.102070;0.045329;-0.009088;0.001925;1
226;-2.00;9.00;0.387769;1.118903;0.043085;-0.008849;0.002049;1
227;-2.00;9.25;0.378362;1.135802;0.040904;-0.008596;0.002190;1
228;-2.00;9.50;0.368478;1.152857;0.038787;-0.008355;0.002338;1
229;-2.00;9.75;0.358083;1.170065;0.036726;-0.008151;0.002480;1
230;-2.00;10.00;0.347118;1.187379;0.034712;-0.008059;0.002618;1
231;-1.50;2.00;0.018527;0.323378;0.009263;0.015311;0.001900;1
232;-1.50;2.25;0.029455;0.343756;0.013091;0.017822;0.002468;1
233;-1.50;2.50;0.045436;0.370034;0.018175;0.022129;0.003161;1
234;-1.50;2.75;0.066427;0.401039;0.024155;0.023935;0.003517;1
235;-1.50;3.00;0.090426;0.434248;0.030142;0.023015;0.003519;1
236;-1.50;3.25;0.115905;0.467979;0.035663;0.020813;0.003365;1
